influence_type,influenced_entity,influenced_entity_genre,ss_work_or_reference,reference_genre,reference_year,influence_degree,via
CoverOf,Melancholy Circuitry,Americana,Twilight's Threshold,Synthwave,2007,Direct,Sailor Shift
InStyleOf,Barnacle Heart,Oceanus Folk,Our Inevitable Path,Indie Folk,2017,Direct,Sailor Shift
InStyleOf,Coral Beats,Oceanus Folk,Sacred Fragments,Synthwave,2003,Direct,Sailor Shift
CoverOf,Coral Beats,Oceanus Folk,Harvest Dance at Ler Valley,Psychedelic Rock,2010,Direct,Sailor Shift
InStyleOf,Driftwood Lullaby,Oceanus Folk,Echoes of Forgotten Light,Alternative Rock,2004,Direct,Sailor Shift
CoverOf,Electric Eel Love,Oceanus Folk,The Crown We Wear,Indie Rock,2022,Direct,Sailor Shift
InStyleOf,Electric Eel Love,Oceanus Folk,Twelve Bells of Augsburg,Psychedelic Rock,2026,Direct,Sailor Shift
InterpolatesFrom,Electric Reverie,Oceanus Folk,Reflejo Interior,Americana,1983,Direct,Sailor Shift
InStyleOf,Electric Reverie,Oceanus Folk,Folklore's Heartbeat,Blues Rock,2020,Direct,Sailor Shift
InStyleOf,Fog & Fiddle,Oceanus Folk,Provence Aria,Indie Rock,2023,Direct,Sailor Shift
InterpolatesFrom,Fog & Fiddle,Oceanus Folk,Coastal Whispers of Biscay,Alternative Rock,2031,Direct,Sailor Shift
InterpolatesFrom,High Tide Heartbeat,Oceanus Folk,Addicted to Your Heartache,Southern Gothic Rock,2004,Direct,Sailor Shift
InterpolatesFrom,Moon Over the Tide,Oceanus Folk,Divergent Memories,Indie Folk,2017,Direct,Sailor Shift
LyricalReferenceTo,Moon Over the Tide,Oceanus Folk,Silent Steps in the Forest's Embrace,Avant-Garde Folk,2023,Direct,Sailor Shift
LyricalReferenceTo,Oceanbound,Oceanus Folk,Bold Without Apology,Indie Rock,2010,Direct,Sailor Shift
LyricalReferenceTo,Oceanbound,Oceanus Folk,Altitude of Mistakes,Americana,2015,Direct,Sailor Shift
InterpolatesFrom,Salt-Kissed Rhymes,Oceanus Folk,Caught in the Cricket Crease,Lo-Fi Electronica,2014,Direct,Sailor Shift
InStyleOf,Salt-Kissed Rhymes,Oceanus Folk,The Void Inside,Dream Pop,2017,Direct,Sailor Shift
InStyleOf,Saltwater Hymn,Oceanus Folk,Parallel Memories,Dream Pop,2028,Direct,Sailor Shift
InStyleOf,Salty Dreams,Oceanus Folk,Susurros de Pasión,Synthwave,2004,Direct,Sailor Shift
CoverOf,Salty Dreams,Oceanus Folk,Partisan's Lament,Indie Pop,2030,Direct,Sailor Shift
InStyleOf,Stormsong,Oceanus Folk,When the Bar Lights Go Up,Emo/Pop Punk,2000,Direct,Sailor Shift
